display_record,year,state,armed_with,threat_type,flee_status,body_camera,median_income,poverty_rate,unemployment_rate,gini_index,bachelor_plus_rate,less_than_highschool_rate,population_density,land_area_sqmi,primary_cluster,profile_name
Incident record 00087,2015,AZ,Unarmed,Accident,Not Fleeing,0,56004.0,0.1628234085543816,0.0559824904384855,0.4716,0.3064198312343983,0.1324863208850896,452.9384647885855,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00088,2015,TX,Gun,Point,Vehicle,0,46602.0,0.202917519896979,0.0539321251947123,0.4752,0.2333632274900371,0.1519140127173788,236.97633815316053,1036.69,1,"Lower-income rural, older/White-composition profile"
Incident record 00089,2015,TN,Knife,Threat,Not Fleeing,0,47083.0,0.2005449917326603,0.0811551455658358,0.5039,0.2998918138009968,0.1279961475158403,1246.166129092252,752.764,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00090,2015,CA,Replica,Flee,Vehicle,0,53803.0,0.1904501507554268,0.0954260082285851,0.4445,0.1940794100432395,0.2110833165709065,106.04521080575022,20068.167,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00091,2015,OK,Gun,Shoot,Not Fleeing,0,49693.0,0.1643943531784378,0.0460917625720752,0.4919,0.3079826105245613,0.1396555042531196,1095.872478487798,708.9,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00092,2015,CA,Replica,Point,Not Fleeing,0,58292.0,0.1618348925391292,0.0956825911826787,0.4492,0.2073441351069147,0.1963356988903278,327.4993501408051,7209.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00093,2015,NC,Gun,Point,Not Fleeing,0,44293.0,0.1729096101481038,0.0792587226850175,0.4665,0.1921016900582002,0.1552301740548433,599.975825788262,355.751,1,"Lower-income rural, older/White-composition profile"
Incident record 00094,2015,AK,Gun,Shoot,Vehicle,0,78662.0,0.0836079726479797,0.0638002773925104,0.4525,0.3560150732082144,0.0572139827163352,174.97535249014538,1707.069,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00095,2015,TX,Gun,Shoot,Not Fleeing,0,65269.0,0.133203060966947,0.0419034006135189,0.4937,0.4715414945195917,0.1165078826066997,1183.2873551889595,994.313,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00096,2015,NY,Gun,Shoot,Not Fleeing,0,85392.0,0.1406284011965992,0.0655399731799325,0.4559,0.3895799645424613,0.1294784624676109,1877.174194662752,173.685,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00097,2015,FL,Gun,Shoot,Not Fleeing,0,50720.0,0.1564267309172439,0.0606244672545073,0.4841,0.3212399301362016,0.1134642440031815,1426.4455744646923,903.032,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00098,2015,TX,Gun,Point,Not Fleeing,0,46172.0,0.1501304121022431,0.0662183724640984,0.4536,0.1583357835930608,0.1762716847985886,20.923702285730247,930.906,1,"Lower-income rural, older/White-composition profile"
Incident record 00099,2015,ME,Gun,Point,Not Fleeing,0,36923.0,0.1852700875800858,0.0752779120347994,0.4462,0.1716520039100684,0.1338807429130009,10.49365838566297,6671.172,1,"Lower-income rural, older/White-composition profile"
Incident record 00100,2015,TX,Gun,Shoot,Not Fleeing,0,51799.0,0.1803803920541948,0.0522071512546882,0.5065,0.3009004509961682,0.2233432903915929,2924.303678592698,873.16,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00101,2015,WA,Unarmed,Flee,Foot,0,56980.0,0.1832978381658318,0.0721615189743852,0.4043,0.1587129945116601,0.2638075612592577,69.62248589718395,1241.596,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00102,2015,TN,Gun,Point,Not Fleeing,0,47083.0,0.2005449917326603,0.0811551455658358,0.5039,0.2998918138009968,0.1279961475158403,1246.166129092252,752.764,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00103,2015,CO,Gun,Point,Vehicle,0,56590.0,0.1211439588688946,0.0693253104596082,0.4185,0.2967214865442119,0.1412590773173857,19.36469969549692,2947.425,1,"Lower-income rural, older/White-composition profile"
Incident record 00104,2015,CA,Knife,Threat,Not Fleeing,0,102340.0,0.081636080620431,0.0531971847665765,0.4629,0.4950106995058608,0.1267362933018203,1485.6074430478575,1291.084,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00105,2015,AL,Replica,Point,Foot,1,39206.0,0.2247171625052377,0.0902458639705882,0.4523,0.1733430192334301,0.2021239795212397,57.433663023651455,716.531,1,"Lower-income rural, older/White-composition profile"
Incident record 00106,2015,CA,Missing,Attack,Vehicle,0,53803.0,0.1904501507554268,0.0954260082285851,0.4445,0.1940794100432395,0.2110833165709065,106.04521080575022,20068.167,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00107,2015,KS,Gun,Point,Vehicle,0,41800.0,0.2176981272479226,0.0705843366839721,0.4264,0.1602331733124326,0.22185754874106,1077.3618749917566,151.638,1,"Lower-income rural, older/White-composition profile"
Incident record 00108,2015,PA,Unarmed,Move,Not Fleeing,0,56122.0,0.1283152286068767,0.0788035003393935,0.4512,0.2438540104278266,0.1307906578101564,484.90081783830993,856.404,1,"Lower-income rural, older/White-composition profile"
Incident record 00109,2015,TN,Gun,Point,Not Fleeing,0,35508.0,0.2084580018973947,0.114751385786382,0.4485,0.141584310512571,0.2161400993394439,47.44017481569727,597.658,1,"Lower-income rural, older/White-composition profile"
Incident record 00110,2015,AZ,Knife,Threat,Not Fleeing,0,50770.0,0.1578365046923438,0.0956151156983519,0.4276,0.1746101810482496,0.1618309378981177,75.76084791389532,5366.677,1,"Lower-income rural, older/White-composition profile"
Incident record 00111,2015,MD,Gun,Shoot,Vehicle,0,68775.0,0.0915263313094772,0.0523485705092327,0.4558,0.3794353290323029,0.0903755032396732,1389.0146032976916,598.358,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00112,2015,TX,Gun,Shoot,Not Fleeing,0,38862.0,0.3175644913612828,0.0601258912550199,0.4788,0.1711439444817551,0.3475696776359973,78.31359709272473,3361.498,2,"Higher-Hispanic-composition, younger/large-area profile"
