variant,algorithm,configuration,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,eligible,initialization_stability_ari_mean,initialization_stability_nmi_mean,ahc_subsample_stability_ari_mean,ahc_subsample_stability_nmi_mean,cluster_persistence,min_cluster_size,min_samples,cluster_selection_method,relative_validity_dbcv
time_sensitivity,HDBSCAN,mcs=50;ms=50;method=leaf,,3,0.9337436291951148,0.014905279353784,0.2911982954258016,1.3323751802135633,299.99698722812536,False,,,,,0.0440665251756563,50.0,50.0,leaf,0.0276789092027644
time_sensitivity,HDBSCAN,mcs=100;ms=5;method=eom,,2,0.5377440138474854,0.0421194345610154,0.116031920759178,1.6716698174928235,400.1831468645239,False,,,,,0.112601348884458,100.0,5.0,eom,4.575068225964439e-05
time_sensitivity,HDBSCAN,mcs=100;ms=5;method=leaf,,4,0.8149822098278681,0.0242330993364746,0.1647656167757642,1.8181628556640104,354.67164937934007,False,,,,,0.0787281918058846,100.0,5.0,leaf,0.002544889014518
time_sensitivity,HDBSCAN,mcs=100;ms=10;method=eom,,2,0.7282431002981056,0.0350995288008462,0.1270515992965145,1.631869549750406,340.66997645920515,False,,,,,0.0920663794420445,100.0,10.0,eom,0.0001591768283576
time_sensitivity,HDBSCAN,mcs=100;ms=10;method=leaf,,4,0.897490143283008,0.0140398115203384,0.2155252834822668,1.6815786802985428,262.20880583161863,False,,,,,0.0605383425996405,100.0,10.0,leaf,0.0012665280613096
time_sensitivity,HDBSCAN,mcs=100;ms=25;method=eom,,3,0.8664294643715742,0.0121165496682373,0.1457944153509489,1.7369559825289165,245.64714348376768,False,,,,,0.0396419973556776,100.0,25.0,eom,0.0001882982786376
time_sensitivity,HDBSCAN,mcs=100;ms=25;method=leaf,,4,0.9068179632656986,0.0121165496682373,0.2310415330862935,1.611898860344113,269.893534578251,False,,,,,0.0429721692216169,100.0,25.0,leaf,0.0001871177366219
time_sensitivity,HDBSCAN,mcs=100;ms=50;method=eom,,2,0.9146071737667084,0.0307721896336186,0.2681145889522855,1.4051843750071271,368.5808791445984,False,,,,,0.0380929798938556,100.0,50.0,eom,3.535724450962842e-05
time_sensitivity,HDBSCAN,mcs=100;ms=50;method=leaf,,3,0.9337436291951148,0.014905279353784,0.2911982954258016,1.3323751802135633,299.99698722812536,False,,,,,0.0360946903534788,100.0,50.0,leaf,0.0276789092027644
time_sensitivity,HDBSCAN,mcs=200;ms=5;method=eom,,2,0.5377440138474854,0.0421194345610154,0.116031920759178,1.6716698174928235,400.1831468645239,False,,,,,0.1050007589141628,200.0,5.0,eom,4.575068225964439e-05
time_sensitivity,HDBSCAN,mcs=200;ms=5;method=leaf,,4,0.8149822098278681,0.0242330993364746,0.1647656167757642,1.8181628556640104,354.67164937934007,False,,,,,0.0569943656417379,200.0,5.0,leaf,0.002544889014518
time_sensitivity,HDBSCAN,mcs=200;ms=10;method=eom,,2,0.7282431002981056,0.0350995288008462,0.1270515992965145,1.631869549750406,340.66997645920515,False,,,,,0.0827304009830567,200.0,10.0,eom,0.0001591768283576
time_sensitivity,HDBSCAN,mcs=200;ms=10;method=leaf,,3,0.9115299548033464,0.0208673910952976,0.2573333693952367,1.4821343161088931,337.4337139475448,False,,,,,0.0446938672331262,200.0,10.0,leaf,0.0307893478501245
time_sensitivity,HDBSCAN,mcs=200;ms=25;method=eom,,2,0.8639292239638426,0.0449081642465621,0.2160194488581749,1.6212067540481778,420.15535332800016,False,,,,,0.0357617715676162,200.0,25.0,eom,6.348043359161485e-05
time_sensitivity,HDBSCAN,mcs=200;ms=25;method=leaf,,2,0.8639292239638426,0.0449081642465621,0.2160194488581749,1.6212067540481778,420.15535332800016,False,,,,,0.0357617715676162,200.0,25.0,leaf,6.348043359161485e-05
time_sensitivity,HDBSCAN,mcs=200;ms=50;method=eom,,2,0.9146071737667084,0.0307721896336186,0.2681145889522855,1.4051843750071271,368.5808791445984,False,,,,,0.0304546554372397,200.0,50.0,eom,3.535724450962842e-05
time_sensitivity,HDBSCAN,mcs=200;ms=50;method=leaf,,2,0.9146071737667084,0.0307721896336186,0.2681145889522855,1.4051843750071271,368.5808791445984,False,,,,,0.0304546554372397,200.0,50.0,leaf,3.535724450962842e-05
time_sensitivity,HDBSCAN,mcs=300;ms=5;method=eom,,2,0.5377440138474854,0.0421194345610154,0.116031920759178,1.6716698174928235,400.1831468645239,False,,,,,0.0922119413159064,300.0,5.0,eom,4.575068225964439e-05
time_sensitivity,HDBSCAN,mcs=300;ms=5;method=leaf,,3,0.8392153091643427,0.038080584671603,0.2129360667496311,1.6585210245736957,448.4438431227388,False,,,,,0.0572242244092232,300.0,5.0,leaf,0.036126730976257
time_sensitivity,HDBSCAN,mcs=300;ms=10;method=eom,,2,0.7282431002981056,0.0350995288008462,0.1270515992965145,1.631869549750406,340.66997645920515,False,,,,,0.0644226337766887,300.0,10.0,eom,0.0001591768283576
time_sensitivity,HDBSCAN,mcs=300;ms=10;method=leaf,,2,0.7282431002981056,0.0350995288008462,0.1270515992965145,1.631869549750406,340.66997645920515,False,,,,,0.0644226337766887,300.0,10.0,leaf,0.0001591768283576
time_sensitivity,HDBSCAN,mcs=300;ms=25;method=eom,,2,0.8639292239638426,0.0449081642465621,0.2160194488581749,1.6212067540481778,420.15535332800016,False,,,,,0.0220335908981307,300.0,25.0,eom,6.348043359161485e-05
time_sensitivity,HDBSCAN,mcs=300;ms=25;method=leaf,,2,0.8639292239638426,0.0449081642465621,0.2160194488581749,1.6212067540481778,420.15535332800016,False,,,,,0.0220335908981307,300.0,25.0,leaf,6.348043359161485e-05
time_sensitivity,HDBSCAN,mcs=300;ms=50;method=eom,,2,0.9146071737667084,0.0307721896336186,0.2681145889522855,1.4051843750071271,368.5808791445984,False,,,,,0.0137646530962244,300.0,50.0,eom,3.535724450962842e-05
time_sensitivity,HDBSCAN,mcs=300;ms=50;method=leaf,,2,0.9146071737667084,0.0307721896336186,0.2681145889522855,1.4051843750071271,368.5808791445984,False,,,,,0.0137646530962244,300.0,50.0,leaf,3.535724450962842e-05
time_sensitivity,HDBSCAN,mcs=500;ms=5;method=eom,,0,1.0,0.0,,,,False,,,,,0.0,500.0,5.0,eom,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=5;method=leaf,,0,1.0,0.0,,,,False,,,,,0.0,500.0,5.0,leaf,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=10;method=eom,,0,1.0,0.0,,,,False,,,,,0.0,500.0,10.0,eom,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=10;method=leaf,,0,1.0,0.0,,,,False,,,,,0.0,500.0,10.0,leaf,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=25;method=eom,,0,1.0,0.0,,,,False,,,,,0.0,500.0,25.0,eom,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=25;method=leaf,,0,1.0,0.0,,,,False,,,,,0.0,500.0,25.0,leaf,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=50;method=eom,,0,1.0,0.0,,,,False,,,,,0.0,500.0,50.0,eom,0.0
time_sensitivity,HDBSCAN,mcs=500;ms=50;method=leaf,,0,1.0,0.0,,,,False,,,,,0.0,500.0,50.0,leaf,0.0
