matcher,context_scenario,armed_with,threat_type,flee_status,body_camera,closest_cluster,first_distance,second_distance,first_vs_second_margin,distance_cluster_0,distance_cluster_1,distance_cluster_2,distance_cluster_3
Expanded matcher,Neutral reference,Multiple Weapons,Accident,Not Fleeing,False,3,2.2551495212405497,2.258550893527086,0.003401372286536475,2.54973279427387,2.258550893527086,2.722514668388259,2.2551495212405497
Expanded matcher,Neutral reference,Multiple Weapons,Accident,Not Fleeing,True,3,2.3768003923234513,2.4333756567239044,0.05657526440045313,2.661754081531588,2.4333756567239044,2.839886504350988,2.3768003923234513
Expanded matcher,Neutral reference,Multiple Weapons,Accident,Vehicle,False,3,2.3270030727061806,2.3334795072050705,0.006476434498889905,2.6219855469227107,2.3334795072050705,2.7821578327148764,2.3270030727061806
Expanded matcher,Neutral reference,Multiple Weapons,Accident,Vehicle,True,3,2.445081602356338,2.5030764188555077,0.05799481649916949,2.7310447957926316,2.5030764188555077,2.8971143305265636,2.445081602356338
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Foot,False,3,2.3143401044821066,2.326333828367693,0.011993723885586505,2.5973449161277906,2.326333828367693,2.7646892461152786,2.3143401044821066
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Foot,True,3,2.4330332634412706,2.4964162371472396,0.06338297370596901,2.7073969198640433,2.4964162371472396,2.8803430117941007,2.4330332634412706
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Missing,False,3,2.302413065721633,2.317853512689136,0.015440446967502908,2.6056167385128655,2.317853512689136,2.7713165183188337,2.302413065721633
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Missing,True,3,2.421690869413997,2.488515592551082,0.06682472313708487,2.71533350739331,2.488515592551082,2.8867047792790426,2.421690869413997
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Not Fleeing,False,3,2.2256689688432734,2.2290307526823225,0.0033617838390491706,2.521476984419079,2.2290307526823225,2.6951661452395284,2.2256689688432734
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Not Fleeing,True,3,2.3488471854655235,2.40600146394137,0.05715427847584653,2.634699916747553,2.40600146394137,2.8136790485858443,2.3488471854655235
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Vehicle,False,3,2.2984443208623535,2.3049192107962355,0.006474889933882011,2.5945167313068307,2.3049192107962355,2.755401356788663,2.2984443208623535
Expanded matcher,Neutral reference,Multiple Weapons,Attack,Vehicle,True,3,2.417917913805561,2.4764727974241985,0.058554883618637366,2.7046838146788086,2.4764727974241985,2.8714292390721465,2.417917913805561
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Foot,False,3,2.339048678675028,2.3524285372031395,0.0133798585281113,2.6231439452761025,2.3524285372031395,2.7888279240828506,2.339048678675028
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Foot,True,3,2.4565482822466214,2.520750874388859,0.06420259214223778,2.7321569548605926,2.520750874388859,2.903520350910237,2.4565482822466214
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Missing,False,3,2.3272482736491256,2.344042629289233,0.01679435564010756,2.631334667487627,2.344042629289233,2.7953979693892634,2.3272482736491256
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Missing,True,3,2.4453149631489737,2.5129267390852594,0.06761177593628576,2.740021824854074,2.5129267390852594,2.909831446196027,2.4453149631489737
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Not Fleeing,False,3,2.2513509190859224,2.256251102613212,0.004900183527289492,2.5480442946030055,2.256251102613212,2.719921894651406,2.2513509190859224
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Not Fleeing,True,3,2.373196515812894,2.4312412439179765,0.058044728105082655,2.6601366873928414,2.4312412439179765,2.8374009852345043,2.373196515812894
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Vehicle,False,3,2.3233219531742804,2.331253634836277,0.007931681661996759,2.6203436059675225,2.331253634836277,2.779620693467294,2.3233219531742804
Expanded matcher,Neutral reference,Multiple Weapons,Flee,Vehicle,True,3,2.441578513973897,2.5010014910075222,0.0594229770336252,2.729468461383884,2.5010014910075222,2.8946779505771003,2.441578513973897
Expanded matcher,Neutral reference,Multiple Weapons,Move,Foot,False,3,2.3289027047581743,2.345645890776709,0.01674318601853475,2.6170566335984136,2.345645890776709,2.7813969339454583,2.3289027047581743
Expanded matcher,Neutral reference,Multiple Weapons,Move,Foot,True,3,2.446889566373475,2.5144223179494247,0.06753275157594985,2.7263130582924426,2.5144223179494247,2.896383631732309,2.446889566373475
Expanded matcher,Neutral reference,Multiple Weapons,Move,Missing,False,3,2.3170506283250223,2.337235647125711,0.02018501880068868,2.625266348038805,2.337235647125711,2.787984490861194,2.3170506283250223
Expanded matcher,Neutral reference,Multiple Weapons,Move,Missing,True,3,2.4356117005834106,2.506578428511591,0.07096672792818026,2.73419473821808,2.506578428511591,2.902710243770155,2.4356117005834106
Expanded matcher,Neutral reference,Multiple Weapons,Move,Not Fleeing,False,3,2.2408079007107173,2.24917844118987,0.008370540479152755,2.541777132850501,2.24917844118987,2.7123021267958016,2.2408079007107173
Expanded matcher,Neutral reference,Multiple Weapons,Move,Not Fleeing,True,3,2.3631971542139696,2.4246790732791403,0.061481919065170754,2.6541342206897043,2.4246790732791403,2.8300975363097773,2.3631971542139696
Expanded matcher,Neutral reference,Multiple Weapons,Move,Vehicle,False,3,2.3131069981996286,2.324409200680318,0.01130220248068925,2.6142497736745933,2.324409200680318,2.772165022787881,2.3131069981996286
Expanded matcher,Neutral reference,Multiple Weapons,Move,Vehicle,True,3,2.4318603428070307,2.494622833273962,0.06276249046693128,2.723618796291451,2.494622833273962,2.8875193768309466,2.4318603428070307
Expanded matcher,Neutral reference,Multiple Weapons,Point,Foot,False,3,2.3082915894992353,2.3118213482074212,0.0035297587081859483,2.590024310656287,2.3118213482074212,2.7611993019795666,2.3082915894992353
Expanded matcher,Neutral reference,Multiple Weapons,Point,Foot,True,3,2.427280536722185,2.482898083714286,0.0556175469921012,2.700374677363311,2.482898083714286,2.876993365174499,2.427280536722185
Expanded matcher,Neutral reference,Multiple Weapons,Point,Missing,False,3,2.2963331352711758,2.3032876006493543,0.006954465378178565,2.59831943849753,2.3032876006493543,2.767834930477936,2.2963331352711758
Expanded matcher,Neutral reference,Multiple Weapons,Point,Missing,True,3,2.4159111345291198,2.474954286323195,0.059043151794075044,2.7083318431884504,2.474954286323195,2.883362523232111,2.4159111345291198
Expanded matcher,Neutral reference,Multiple Weapons,Point,Not Fleeing,False,1,2.213880521036131,2.2193788098949083,0.005498288858777123,2.513935460470461,2.213880521036131,2.6915860580914512,2.2193788098949083
Expanded matcher,Neutral reference,Multiple Weapons,Point,Not Fleeing,True,3,2.3428877573643963,2.3919723889517845,0.049084631587388294,2.6274833905783797,2.3919723889517845,2.810249943709264,2.3428877573643963
Expanded matcher,Neutral reference,Multiple Weapons,Point,Vehicle,False,1,2.2902710392696393,2.292353864272064,0.0020828250024247374,2.587188123327482,2.2902710392696393,2.751899633827474,2.292353864272064
Expanded matcher,Neutral reference,Multiple Weapons,Point,Vehicle,True,3,2.4121291385082384,2.4628451801527693,0.05071604164453092,2.6976545097252926,2.4628451801527693,2.8680691819873223,2.4121291385082384
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Foot,False,3,2.285186199853678,2.292068128615238,0.006881928761560019,2.564484423850206,2.292068128615238,2.749505650448275,2.285186199853678
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Foot,True,3,2.4053184217061836,2.4645164341708607,0.05919801246467715,2.675888231695179,2.4645164341708607,2.865772244937241,2.4053184217061836
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Missing,False,3,2.2731061950540576,2.2834605605289613,0.010354365474903648,2.5728618957988916,2.2834605605289613,2.756169432195406,2.2731061950540576
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Missing,True,3,2.3938447142182318,2.4565131954817043,0.06266848126347258,2.683917994873967,2.4565131954817043,2.872166286441993,2.3938447142182318
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Not Fleeing,False,1,2.193245385635039,2.195337834516439,0.002092448881399811,2.4876145058651216,2.193245385635039,2.679588633485898,2.195337834516439
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Not Fleeing,True,3,2.3201269252902432,2.3728864847889137,0.052759559498670505,2.6023111647427952,2.3728864847889137,2.798761240747854,2.3201269252902432
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Vehicle,False,3,2.2690861915960467,2.270330326957602,0.0012441353615550987,2.5616199592965625,2.270330326957602,2.7401662962773496,2.2690861915960467
Expanded matcher,Neutral reference,Multiple Weapons,Shoot,Vehicle,True,3,2.390027800400925,2.44431273399864,0.054284933597715135,2.6731431469752893,2.44431273399864,2.856813009151977,2.390027800400925
